X,Y
-0.323846206,-1.834311675
-0.155641676,-2.126373733
-0.481484263,-2.390057348
-0.638630324,-1.75842718
-0.480880208,-2.078494912
-0.393752188,-0.887623664
0.235641854,-2.492991957
0.152949565,-0.819017227
-0.269664859,-1.112372024
-0.460363648,-1.661839309
-0.037047217,-1.913338027
-0.102531753,-2.265764914
-0.418806589,-1.31962287
-0.194676015,-1.663697679
0.401425847,-1.577113732
-0.234379652,-0.95979789
0.706983783,-0.774510657
0.415859518,-1.174778326
0.299096236,-2.345388913
0.095677048,-1.262820225
-0.691896082,-1.307612639
-0.406294183,-2.080886402
-0.001108289,-2.043154016
0.415626371,-1.284476001
0.253874858,-2.246791579
0.23501291,-1.39505557
-0.282174126,-2.032913953
-0.476953928,-1.264718206
0.10426475,-2.024071662
-0.301318169,-1.189559926
-0.36317067,-2.077491813
-0.273587775,-1.200291946
0.510721501,-1.935818919
0.368865087,-2.138427395
0.0159207,-1.538355086
-0.01552628,-1.43783842
0.250959873,-0.963477627
0.088857718,-1.266809319
-0.415161403,-1.744056837
-0.388926667,-1.941335968
-0.137947795,-1.360508559
0.660025774,-2.122066005
-0.018187686,-1.961015921
0.203382292,-1.353613403
-0.139352088,-1.651462163
0.423253175,-0.995782556
0.151115219,-0.927438312
0.106673839,-1.497857137
-0.592175906,-0.882838651
0.246386201,-1.97185452
-0.2646228,-2.217494166
0.568835335,-0.674689698
0.034511838,-2.235396209
0.020707266,-1.949572173
-0.295177158,-1.905477562
0.278648401,-1.32326496
-0.357580722,-1.546856476
0.664836888,-0.56408256
0.660774396,-1.59279939
0.914024722,-1.034039478
-0.467752116,-1.516146553
-0.026254495,-1.405009814
-0.578393331,-1.207344246
0.360758895,-1.529836879
-0.196392943,-1.136779606
-0.19924234,-1.264206831
-0.030443124,-2.259439653
0.272174769,-1.06141949
-0.256194107,-2.002074398
-0.521401809,-1.855868079
0.624448567,-0.433886075
0.976721396,-1.558941549
0.462005004,-1.696268003
-0.127491781,-1.122215186
-0.230809606,-1.729676547
-0.047074292,-1.679663145
-0.730333572,-2.113051725
0.242736565,-1.264218472
-0.749709606,-1.660896651
0.079400848,-1.943267664
0.444591863,-1.630639524
0.003704905,-1.919740667
0.34502588,-1.856395461
-0.225312835,-1.538097818
0.463864262,-1.168127834
0.41520205,-0.705317161
0.713580517,-0.968425676
-0.264511514,-1.549302265
-0.339381279,-1.822292219
0.005125514,-2.376840113
0.073460076,-2.685346262
-0.928118801,-1.804299993
-0.449691394,-1.333036258
0.59156075,-0.659507278
-0.036243911,-1.597634845
0.11066304,-1.912407796
0.16153599,-1.878229622
